Fondsposition per,"10.Mär.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"DMART","AVENUE SUPERMARTS LTD","Nichtzyklische Konsumgüter","Aktien","1.523.214,80","0,13","1.523.214,80","27.882,00","54,63","Indien","National Stock Exchange Of India","INR"
"ITC","ITC LTD","Nichtzyklische Konsumgüter","Aktien","1.521.619,61","0,13","1.521.619,61","500.462,00","3,04","Indien","National Stock Exchange Of India","INR"
"960","LONGFOR GROUP HOLDINGS LTD","Immobilien","Aktien","1.521.265,31","0,13","1.521.265,31","307.500,00","4,95","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ASII","ASTRA INTERNATIONAL","Zyklische Konsumgüter ","Aktien","1.517.271,10","0,13","1.517.271,10","3.466.661,00","0,44","Indonesien","Indonesia Stock Exchange","IDR"
"SCC.R","SIAM CEMENT NON-VOTING DR PCL","Materialien","Aktien","1.506.976,39","0,12","1.506.976,39","132.500,00","11,37","Thailand","Stock Exchange Of Thailand","THB"
"ADCB","ABU DHABI COMMERCIAL BANK","Financials","Aktien","1.504.625,62","0,12","1.504.625,62","496.101,00","3,03","Ver. Arabische Emirate","Abu Dhabi Securities Exchange","AED"
"2382","QUANTA COMPUTER INC","IT","Aktien","1.500.738,01","0,12","1.500.738,01","459.443,00","3,27","Taiwan","Taiwan Stock Exchange","TWD"
"2899","ZIJIN MINING GROUP LTD H","Materialien","Aktien","1.489.484,31","0,12","1.489.484,31","1.001.000,00","1,49","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"POWERGRID","POWER GRID CORPORATION OF INDIA LT","Versorger","Aktien","1.469.394,75","0,12","1.469.394,75","536.855,00","2,74","Indien","National Stock Exchange Of India","INR"
"1211","SAUDI ARABIAN MINING","Materialien","Aktien","1.467.606,40","0,12","1.467.606,40","45.203,00","32,47","Saudi-Arabien","Saudi Stock Exchange","SAR"
"2885","YUANTA FINANCIAL HOLDING LTD","Financials","Aktien","1.467.154,14","0,12","1.467.154,14","1.677.111,00","0,87","Taiwan","Taiwan Stock Exchange","TWD"
"096770","SK INNOVATION LTD","Energie","Aktien","1.465.500,51","0,12","1.465.500,51","8.867,00","165,28","Korea","Korea Exchange (Stock Market)","KRW"
"BGNE","BEIGENE ADS REPRESENTING LTD","Gesundheitsversorgung","Aktien","1.456.360,00","0,12","1.456.360,00","7.915,00","184,00","China","NASDAQ","USD"
"M&M","MAHINDRA AND MAHINDRA LTD","Zyklische Konsumgüter ","Aktien","1.443.122,54","0,12","1.443.122,54","149.039,00","9,68","Indien","National Stock Exchange Of India","INR"
"NTPC","NTPC LTD","Versorger","Aktien","1.437.837,57","0,12","1.437.837,57","825.229,00","1,74","Indien","National Stock Exchange Of India","INR"
"AOT.R","AIRPORTS OF THAILAND NON-VOTING DR","Industrie","Aktien","1.433.377,33","0,12","1.433.377,33","739.500,00","1,94","Thailand","Stock Exchange Of Thailand","THB"
"IQCD","INDUSTRIES QATAR","Industrie","Aktien","1.427.596,13","0,12","1.427.596,13","263.906,00","5,41","Qatar","Qatar Exchange","QAR"
"9633","NONGFU SPRING LTD H","Nichtzyklische Konsumgüter","Aktien","1.413.305,04","0,12","1.413.305,04","298.400,00","4,74","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1010","RIYAD BANK","Financials","Aktien","1.390.903,16","0,11","1.390.903,16","139.518,00","9,97","Saudi-Arabien","Saudi Stock Exchange","SAR"
"ULTRACEMCO","ULTRATECH CEMENT LTD","Materialien","Aktien","1.386.760,13","0,11","1.386.760,13","17.483,00","79,32","Indien","National Stock Exchange Of India","INR"
"ADANITRANS","ADANI TRANSMISSION LTD","Versorger","Aktien","1.379.882,86","0,11","1.379.882,86","46.328,00","29,79","Indien","National Stock Exchange Of India","INR"
"CIMB","CIMB GROUP HOLDINGS","Financials","Aktien","1.379.517,81","0,11","1.379.517,81","1.148.524,00","1,20","Malaysia","Bursa Malaysia","MYR"
"SHP","SHOPRITE HOLDINGS LTD","Nichtzyklische Konsumgüter","Aktien","1.363.568,16","0,11","1.363.568,16","87.578,00","15,57","Südafrika","Johannesburg Stock Exchange","ZAR"
"ABG","ABSA GROUP LTD","Financials","Aktien","1.355.215,20","0,11","1.355.215,20","122.590,00","11,05","Südafrika","Johannesburg Stock Exchange","ZAR"
"034730","SK INC","Industrie","Aktien","1.352.858,95","0,11","1.352.858,95","7.026,00","192,55","Korea","Korea Exchange (Stock Market)","KRW"
"028260","SAMSUNG C&T CORP","Industrie","Aktien","1.346.761,65","0,11","1.346.761,65","14.384,00","93,63","Korea","Korea Exchange (Stock Market)","KRW"
"AMS","ANGLO AMERICAN PLATINUM LTD","Materialien","Aktien","1.346.714,47","0,11","1.346.714,47","9.268,00","145,31","Südafrika","Johannesburg Stock Exchange","ZAR"
"586","CHINA CONCH VENTURE HOLDINGS LTD","Industrie","Aktien","1.344.661,62","0,11","1.344.661,62","280.500,00","4,79","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ADVANC.R","ADVANCED INFO SERVICE NON-VOTING D","Kommunikation","Aktien","1.333.636,05","0,11","1.333.636,05","191.371,00","6,97","Thailand","Stock Exchange Of Thailand","THB"
"NESTLEIND","NESTLE INDIA LTD","Nichtzyklische Konsumgüter","Aktien","1.326.949,57","0,11","1.326.949,57","5.737,00","231,30","Indien","National Stock Exchange Of India","INR"
"SLM","SANLAM LIMITED LTD","Financials","Aktien","1.325.801,53","0,11","1.325.801,53","317.359,00","4,18","Südafrika","Johannesburg Stock Exchange","ZAR"
"BAJAJFINSV","BAJAJ FINSERV LTD","Financials","Aktien","1.322.248,56","0,11","1.322.248,56","6.523,00","202,71","Indien","National Stock Exchange Of India","INR"
"2609","YANG MING MARINE TRANSPORT CORP","Industrie","Aktien","1.307.841,55","0,11","1.307.841,55","299.000,00","4,37","Taiwan","Taiwan Stock Exchange","TWD"
"OTP","OTP BANK","Financials","Aktien","1.298.696,01","0,11","1.298.696,01","38.849,00","33,43","Ungarn","Budapest Stock Exchange","HUF"
"DIVISLAB","DIVIS LABORATORIES LTD","Gesundheitsversorgung","Aktien","1.291.876,39","0,11","1.291.876,39","22.920,00","56,36","Indien","National Stock Exchange Of India","INR"
"033780","KT&G CORP","Nichtzyklische Konsumgüter","Aktien","1.268.272,91","0,10","1.268.272,91","19.327,00","65,62","Korea","Korea Exchange (Stock Market)","KRW"
"2379","REALTEK SEMICONDUCTOR CORP","IT","Aktien","1.262.953,19","0,10","1.262.953,19","76.340,00","16,54","Taiwan","Taiwan Stock Exchange","TWD"
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","Financials","Aktien","1.261.496,53","0,10","1.261.496,53","152.081,00","8,29","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"QIBK","QATAR ISLAMIC BANK","Financials","Aktien","1.256.201,29","0,10","1.256.201,29","200.472,00","6,27","Qatar","Qatar Exchange","QAR"
"SMPH","SM PRIME HOLDINGS INC","Immobilien","Aktien","1.250.563,25","0,10","1.250.563,25","1.739.200,00","0,72","Philippinen","Philippine Stock Exchange Inc.","PHP"
"JSWSTEEL","JSW STEEL LTD","Materialien","Aktien","1.248.820,85","0,10","1.248.820,85","146.433,00","8,53","Indien","National Stock Exchange Of India","INR"
"916","CHINA LONGYUAN POWER GROUP CORP LT","Versorger","Aktien","1.244.432,80","0,10","1.244.432,80","555.000,00","2,24","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ABEV3","AMBEV SA","Nichtzyklische Konsumgüter","Aktien","1.238.367,59","0,10","1.238.367,59","467.456,00","2,65","Brasilien","XBSP","BRL"
"CEMEXCPO","CEMEX CPO","Materialien","Aktien","1.237.505,72","0,10","1.237.505,72","2.599.258,00","0,48","Mexiko","Bolsa Mexicana De Valores","MXN"
"009150","SAMSUNG ELECTRO MECHANICS LTD","IT","Aktien","1.228.134,34","0,10","1.228.134,34","9.608,00","127,82","Korea","Korea Exchange (Stock Market)","KRW"
"BDMS.R","BANGKOK DUSIT MEDICAL SERVICES NON","Gesundheitsversorgung","Aktien","1.225.658,04","0,10","1.225.658,04","1.625.100,00","0,75","Thailand","Stock Exchange Of Thailand","THB"
"051900","LG HOUSEHOLD & HEALTH CARE LTD","Nichtzyklische Konsumgüter","Aktien","1.223.868,11","0,10","1.223.868,11","1.606,00","762,06","Korea","Korea Exchange (Stock Market)","KRW"
"992","LENOVO GROUP LTD","IT","Aktien","1.218.208,78","0,10","1.218.208,78","1.236.000,00","0,99","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3008","LARGAN PRECISION LTD","IT","Aktien","1.218.248,44","0,10","1.218.248,44","17.225,00","70,73","Taiwan","Taiwan Stock Exchange","TWD"
"6690","HAIER SMART HOME CLASS H LTD H","Zyklische Konsumgüter ","Aktien","1.215.850,23","0,10","1.215.850,23","390.600,00","3,11","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"011200","HMM LTD","Industrie","Aktien","1.205.936,01","0,10","1.205.936,01","45.021,00","26,79","Korea","Korea Exchange (Stock Market)","KRW"
"2601","CHINA PACIFIC INSURANCE (GROUP) LT","Financials","Aktien","1.198.964,54","0,10","1.198.964,54","456.400,00","2,63","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2328","PICC PROPERTY AND CASUALTY LTD H","Financials","Aktien","1.188.380,55","0,10","1.188.380,55","1.208.872,00","0,98","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"373220","LG ENERGY SOLUTION LTD","Industrie","Aktien","1.184.262,16","0,10","1.184.262,16","3.484,00","339,91","Korea","Korea Exchange (Stock Market)","KRW"
"2887","TAISHIN FINANCIAL HOLDING LTD","Financials","Aktien","1.174.488,90","0,10","1.174.488,90","1.757.023,00","0,67","Taiwan","Taiwan Stock Exchange","TWD"
"2880","HUA NAN FINANCIAL HOLDINGS LTD","Financials","Aktien","1.154.058,61","0,10","1.154.058,61","1.457.301,00","0,79","Taiwan","Taiwan Stock Exchange","TWD"
"2020","SABIC AGRI-NUTRIENTS","Materialien","Aktien","1.148.753,51","0,09","1.148.753,51","22.826,00","50,33","Saudi-Arabien","Saudi Stock Exchange","SAR"
"VOD","VODACOM GROUP LTD","Kommunikation","Aktien","1.137.895,89","0,09","1.137.895,89","109.174,00","10,42","Südafrika","Johannesburg Stock Exchange","ZAR"
"SCCO","SOUTHERN COPPER CORP","Materialien","Aktien","1.108.566,60","0,09","1.108.566,60","14.722,00","75,30","Peru","New York Stock Exchange Inc.","USD"
"NED","NEDBANK GROUP LTD","Financials","Aktien","1.106.541,53","0,09","1.106.541,53","76.929,00","14,38","Südafrika","Johannesburg Stock Exchange","ZAR"
"BID","BID CORPORATION LTD","Nichtzyklische Konsumgüter","Aktien","1.104.545,05","0,09","1.104.545,05","56.322,00","19,61","Südafrika","Johannesburg Stock Exchange","ZAR"
"2327","YAGEO CORP","IT","Aktien","1.093.729,58","0,09","1.093.729,58","71.115,00","15,38","Taiwan","Taiwan Stock Exchange","TWD"
"MARK","MASRAF AL RAYAN","Financials","Aktien","1.087.443,88","0,09","1.087.443,88","778.188,00","1,40","Qatar","Qatar Exchange","QAR"
"1919","COSCO SHIPPING HOLDINGS LTD H","Industrie","Aktien","1.081.959,33","0,09","1.081.959,33","574.982,00","1,88","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SBILIFE","SBI LIFE INSURANCE COMPANY LTD","Financials","Aktien","1.077.310,98","0,09","1.077.310,98","78.286,00","13,76","Indien","National Stock Exchange Of India","INR"
"1658","POSTAL SAVINGS BANK OF CHINA LTD H","Financials","Aktien","1.073.840,98","0,09","1.073.840,98","1.337.616,00","0,80","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"914","ANHUI CONCH CEMENT LTD H","Materialien","Aktien","1.073.514,56","0,09","1.073.514,56","214.500,00","5,00","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"267","CITIC LTD","Industrie","Aktien","1.073.313,22","0,09","1.073.313,22","982.000,00","1,09","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"CIPLA","CIPLA LTD","Gesundheitsversorgung","Aktien","1.070.704,44","0,09","1.070.704,44","82.772,00","12,94","Indien","National Stock Exchange Of India","INR"
"APOLLOHOSP","APOLLO HOSPITALS ENTERPRISE LTD","Gesundheitsversorgung","Aktien","1.070.080,52","0,09","1.070.080,52","17.119,00","62,51","Indien","National Stock Exchange Of India","INR"
"2207","HOTAI MOTOR LTD","Zyklische Konsumgüter ","Aktien","1.066.319,62","0,09","1.066.319,62","50.635,00","21,06","Taiwan","Taiwan Stock Exchange","TWD"
"2409","AU OPTRONICS CORP","IT","Aktien","1.062.912,27","0,09","1.062.912,27","1.418.000,00","0,75","Taiwan","Taiwan Stock Exchange","TWD"
"ADANIENT","ADANI ENTERPRISES LTD","Industrie","Aktien","1.057.815,50","0,09","1.057.815,50","46.313,00","22,84","Indien","National Stock Exchange Of India","INR"
"PTTEP.R","PTT EXPLORATION AND PRODUCTION NON","Energie","Aktien","1.052.545,98","0,09","1.052.545,98","238.152,00","4,42","Thailand","Stock Exchange Of Thailand","THB"
"WEGE3","WEG SA","Industrie","Aktien","1.045.865,36","0,09","1.045.865,36","166.529,00","6,28","Brasilien","XBSP","BRL"
"3045","TAIWAN MOBILE LTD","Kommunikation","Aktien","1.041.907,28","0,09","1.041.907,28","277.343,00","3,76","Taiwan","Taiwan Stock Exchange","TWD"
"CEZ","CEZ","Versorger","Aktien","1.040.258,84","0,09","1.040.258,84","28.300,00","36,76","Tschechien","Prague Stock Exchange","CZK"
"ATGL","ADANI TOTAL GAS LTD","Versorger","Aktien","1.035.856,34","0,09","1.035.856,34","46.603,00","22,23","Indien","National Stock Exchange Of India","INR"
"HAPV3","HAPVIDA PARTICIPACOES E INVESTIMEN","Gesundheitsversorgung","Aktien","1.031.453,95","0,09","1.031.453,95","435.578,00","2,37","Brasilien","XBSP","BRL"
"6030","CITIC SECURITIES COMPANY LTD H","Financials","Aktien","1.027.931,70","0,08","1.027.931,70","453.275,00","2,27","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"036570","NCSOFT CORP","Kommunikation","Aktien","1.020.420,11","0,08","1.020.420,11","2.826,00","361,08","Korea","Korea Exchange (Stock Market)","KRW"
"034020","DOOSAN HEAVY INDUSTRIES & CONSTRUC","Industrie","Aktien","1.019.705,92","0,08","1.019.705,92","59.358,00","17,18","Korea","Korea Exchange (Stock Market)","KRW"
"KGH","KGHM POLSKA MIEDZ SA","Materialien","Aktien","1.016.878,98","0,08","1.016.878,98","24.773,00","41,05","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"5876","SHANGHAI COMMERCIAL LTD","Financials","Aktien","1.012.310,63","0,08","1.012.310,63","613.205,00","1,65","Taiwan","Taiwan Stock Exchange","TWD"
"2890","SINOPAC FINANCIAL HOLDINGS LTD","Financials","Aktien","1.008.953,67","0,08","1.008.953,67","1.692.475,00","0,60","Taiwan","Taiwan Stock Exchange","TWD"
"TATACONSUM","TATA CONSUMER PRODUCTS LTD","Nichtzyklische Konsumgüter","Aktien","1.005.566,01","0,08","1.005.566,01","105.951,00","9,49","Indien","National Stock Exchange Of India","INR"
"HDFCLIFE","HDFC LIFE INSURANCE COMPANY LTD","Financials","Aktien","1.005.141,28","0,08","1.005.141,28","147.127,00","6,83","Indien","National Stock Exchange Of India","INR"
"316140","WOORI FINANCIAL GROUP INC","Financials","Aktien","999.314,47","0,08","999.314,47","87.360,00","11,44","Korea","Korea Exchange (Stock Market)","KRW"
"DRREDDY","DR REDDYS LABORATORIES LTD","Gesundheitsversorgung","Aktien","996.016,81","0,08","996.016,81","19.525,00","51,01","Indien","National Stock Exchange Of India","INR"
"3328","BANK OF COMMUNICATIONS LTD H","Financials","Aktien","993.539,36","0,08","993.539,36","1.503.300,00","0,66","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1177","SINO BIOPHARMACEUTICAL LTD","Gesundheitsversorgung","Aktien","986.452,94","0,08","986.452,94","1.737.979,00","0,57","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"VEDL","VEDANTA LTD","Materialien","Aktien","980.222,94","0,08","980.222,94","197.742,00","4,96","Indien","National Stock Exchange Of India","INR"
"3481","INNOLUX CORP","IT","Aktien","973.539,76","0,08","973.539,76","1.599.935,00","0,61","Taiwan","Taiwan Stock Exchange","TWD"
"2912","PRESIDENT CHAIN STORE CORP","Nichtzyklische Konsumgüter","Aktien","971.903,77","0,08","971.903,77","103.000,00","9,44","Taiwan","Taiwan Stock Exchange","TWD"
"1150","ALINMA BANK","Financials","Aktien","964.306,14","0,08","964.306,14","105.010,00","9,18","Saudi-Arabien","Saudi Stock Exchange","SAR"
"ONGC","OIL AND NATURAL GAS LTD","Energie","Aktien","962.090,74","0,08","962.090,74","421.063,00","2,28","Indien","National Stock Exchange Of India","INR"
"ALI","AYALA LAND INC","Immobilien","Aktien","961.754,28","0,08","961.754,28","1.366.700,00","0,70","Philippinen","Philippine Stock Exchange Inc.","PHP"
"HTHT","HUAZHU GROUP ADR REPRESENTING LTD","Zyklische Konsumgüter ","Aktien","958.051,25","0,08","958.051,25","30.875,00","31,03","China","NASDAQ","USD"
"NPH","NORTHAM PLATINUM HLDGS LTD","Materialien","Aktien","955.666,20","0,08","955.666,20","57.158,00","16,72","Südafrika","Johannesburg Stock Exchange","ZAR"
"268","KINGDEE INT L SOFTWARE GROUP LTD","IT","Aktien","953.598,80","0,08","953.598,80","454.855,00","2,10","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"EMAAR","EMAAR PROPERTIES","Immobilien","Aktien","947.805,79","0,08","947.805,79","666.923,00","1,42","Ver. Arabische Emirate","Dubai Financial Market","AED"
"2007","COUNTRY GARDEN HOLDINGS LTD","Immobilien","Aktien","940.563,95","0,08","940.563,95","1.306.866,00","0,72","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PCHEM","PETRONAS CHEMICALS GROUP","Materialien","Aktien","932.837,51","0,08","932.837,51","396.598,00","2,35","Malaysia","Bursa Malaysia","MYR"
"ITSA4","ITAUSA INVESTIMENTOS ITAU PREF SA","Financials","Aktien","922.563,04","0,08","922.563,04","469.712,00","1,96","Brasilien","XBSP","BRL"
"GRASIM","GRASIM INDUSTRIES LTD","Materialien","Aktien","920.713,54","0,08","920.713,54","45.183,00","20,38","Indien","National Stock Exchange Of India","INR"
"SUZB3","SUZANO SA","Materialien","Aktien","914.452,31","0,08","914.452,31","75.926,00","12,04","Brasilien","XBSP","BRL"
"259960","KRAFTON INC","Kommunikation","Aktien","893.466,31","0,07","893.466,31","3.720,00","240,18","Korea","Korea Exchange (Stock Market)","KRW"
"2301","LITE ON TECHNOLOGY CORP","IT","Aktien","887.472,06","0,07","887.472,06","356.359,00","2,49","Taiwan","Taiwan Stock Exchange","TWD"
"003550","LG CORP","Industrie","Aktien","880.563,40","0,07","880.563,40","14.695,00","59,92","Korea","Korea Exchange (Stock Market)","KRW"
"1060","SAUDI BRITISH BANK","Financials","Aktien","878.465,89","0,07","878.465,89","85.822,00","10,24","Saudi-Arabien","Saudi Stock Exchange","SAR"
"REM","REMGRO LTD","Financials","Aktien","862.192,59","0,07","862.192,59","90.949,00","9,48","Südafrika","Johannesburg Stock Exchange","ZAR"
"PKN","POLSKI KONCERN NAFTOWY ORLEN SA","Energie","Aktien","856.203,72","0,07","856.203,72","49.730,00","17,22","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"015760","KOREA ELECTRIC POWER CORP","Versorger","Aktien","850.528,48","0,07","850.528,48","42.814,00","19,87","Korea","Korea Exchange (Stock Market)","KRW"
"1050","BANQUE SAUDI FRANSI","Financials","Aktien","849.090,76","0,07","849.090,76","61.257,00","13,86","Saudi-Arabien","Saudi Stock Exchange","SAR"
"2333","GREAT WALL MOTOR LTD H","Zyklische Konsumgüter ","Aktien","849.167,69","0,07","849.167,69","525.530,00","1,62","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PMETAL","PRESS METAL ALUMINIUM HOLDINGS","Materialien","Aktien","848.203,69","0,07","848.203,69","542.300,00","1,56","Malaysia","Bursa Malaysia","MYR"
"6969","SMOORE INTERNATIONAL HOLDINGS LTD","Nichtzyklische Konsumgüter","Aktien","844.827,81","0,07","844.827,81","311.000,00","2,72","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"CLS","CLICKS GROUP LTD","Nichtzyklische Konsumgüter","Aktien","842.054,05","0,07","842.054,05","42.324,00","19,90","Südafrika","Johannesburg Stock Exchange","ZAR"
"PIDILITIND","PIDILITE INDUSTRIES LTD","Materialien","Aktien","838.394,31","0,07","838.394,31","27.224,00","30,80","Indien","National Stock Exchange Of India","INR"
"4966","PARADE TECHNOLOGIES LTD","IT","Aktien","836.890,19","0,07","836.890,19","13.000,00","64,38","Taiwan","Gretai Securities Market","TWD"
"6488","GLOBALWAFERS LTD","IT","Aktien","835.302,83","0,07","835.302,83","37.000,00","22,58","Taiwan","Gretai Securities Market","TWD"
"CHILE","BANCO DE CHILE","Financials","Aktien","831.963,46","0,07","831.963,46","7.833.075,00","0,11","Chile","Santiago Stock Exchange","CLP"
"BDO","BDO UNIBANK INC","Financials","Aktien","830.988,48","0,07","830.988,48","341.514,00","2,43","Philippinen","Philippine Stock Exchange Inc.","PHP"
"TENAGA","TENAGA NASIONAL","Versorger","Aktien","829.532,33","0,07","829.532,33","385.986,00","2,15","Malaysia","Bursa Malaysia","MYR"
"4938","PEGATRON CORP","IT","Aktien","825.868,12","0,07","825.868,12","336.387,00","2,46","Taiwan","Taiwan Stock Exchange","TWD"
"ADANIPORTS","ADANI PORTS AND SPECIAL ECONOMIC Z","Industrie","Aktien","815.151,48","0,07","815.151,48","85.159,00","9,57","Indien","National Stock Exchange Of India","INR"
"091990","CELLTRION HEALTHCARE LTD","Gesundheitsversorgung","Aktien","813.811,68","0,07","813.811,68","15.122,00","53,82","Korea","Korea Exchange (Kosdaq)","KRW"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO","Industrie","Aktien","811.495,16","0,07","811.495,16","63.579,00","12,76","Mexiko","Bolsa Mexicana De Valores","MXN"
"000810","SAMSUNG FIRE & MARINE INSURANCE LT","Financials","Aktien","810.717,69","0,07","810.717,69","5.368,00","151,03","Korea","Korea Exchange (Stock Market)","KRW"
"ALDAR","ALDAR PROPERTIES","Immobilien","Aktien","808.358,62","0,07","808.358,62","685.714,00","1,18","Ver. Arabische Emirate","Abu Dhabi Securities Exchange","AED"
"3323","CHINA NATIONAL BUILDING MATERIAL L","Materialien","Aktien","803.390,18","0,07","803.390,18","670.000,00","1,20","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ZAIN","MOBILE TEL","Kommunikation","Aktien","799.312,62","0,07","799.312,62","383.367,00","2,08","Kuwait","Kuwait Stock Exchange","KWD"
"2359","WUXI APPTEC LTD H","Gesundheitsversorgung","Aktien","797.718,81","0,07","797.718,81","58.704,00","13,59","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"168","TSINGTAO BREWERY LTD H","Nichtzyklische Konsumgüter","Aktien","796.052,46","0,07","796.052,46","89.600,00","8,88","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"UPL","UPL LTD","Materialien","Aktien","795.058,75","0,07","795.058,75","83.771,00","9,49","Indien","National Stock Exchange Of India","INR"
"NAUKRI","INFO EDGE INDIA LTD","Kommunikation","Aktien","794.347,36","0,07","794.347,36","13.130,00","60,50","Indien","National Stock Exchange Of India","INR"
"BRITANNIA","BRITANNIA INDUSTRIES LTD","Nichtzyklische Konsumgüter","Aktien","793.646,95","0,07","793.646,95","18.790,00","42,24","Indien","National Stock Exchange Of India","INR"
"TLEVISACPO","GRUPO TELEVISA","Kommunikation","Aktien","789.971,05","0,07","789.971,05","401.829,00","1,97","Mexiko","Bolsa Mexicana De Valores","MXN"
"788","CHINA TOWER CORP LTD H","Kommunikation","Aktien","789.573,80","0,07","789.573,80","7.182.000,00","0,11","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"151","WANT WANT CHINA HOLDINGS LTD","Nichtzyklische Konsumgüter","Aktien","786.604,00","0,07","786.604,00","816.086,00","0,96","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2395","ADVANTECH LTD","IT","Aktien","778.015,10","0,06","778.015,10","60.844,00","12,79","Taiwan","Taiwan Stock Exchange","TWD"
"ARTO","BANK ARTOS INDONESIA","Financials","Aktien","775.935,57","0,06","775.935,57","702.400,00","1,10","Indonesien","Indonesia Stock Exchange","IDR"
"ICT","INTERNATIONAL CONTAINER TERMINAL S","Industrie","Aktien","774.961,51","0,06","774.961,51","173.460,00","4,47","Philippinen","Philippine Stock Exchange Inc.","PHP"
"090430","AMOREPACIFIC CORP","Nichtzyklische Konsumgüter","Aktien","773.287,20","0,06","773.287,20","5.587,00","138,41","Korea","Korea Exchange (Stock Market)","KRW"
"1024","KUAISHOU TECHNOLOGY","Kommunikation","Aktien","770.874,13","0,06","770.874,13","81.600,00","9,45","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"384","CHINA GAS HOLDINGS LTD","Versorger","Aktien","769.407,61","0,06","769.407,61","511.800,00","1,50","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"LTI","LARSEN & TOUBRO INFOTECH LTD","IT","Aktien","763.942,79","0,06","763.942,79","9.274,00","82,37","Indien","National Stock Exchange Of India","INR"
"AC","AYALA CORP","Industrie","Aktien","762.322,04","0,06","762.322,04","47.900,00","15,91","Philippinen","Philippine Stock Exchange Inc.","PHP"
"2888","SHIN KONG FINANCIAL HOLDING LTD","Financials","Aktien","752.662,47","0,06","752.662,47","2.102.190,00","0,36","Taiwan","Taiwan Stock Exchange","TWD"
"DSY","DISCOVERY LTD","Financials","Aktien","751.306,70","0,06","751.306,70","72.074,00","10,42","Südafrika","Johannesburg Stock Exchange","ZAR"
"SM","SM INVESTMENTS CORP","Industrie","Aktien","747.205,52","0,06","747.205,52","42.917,00","17,41","Philippinen","Philippine Stock Exchange Inc.","PHP"
"ECOPETROL","ECOPETROL SA","Energie","Aktien","747.211,96","0,06","747.211,96","841.696,00","0,89","Kolumbien","Bolsa De Valores De Colombia","COP"
"APN","ASPEN PHARMACARE LTD","Gesundheitsversorgung","Aktien","747.109,39","0,06","747.109,39","64.695,00","11,55","Südafrika","Johannesburg Stock Exchange","ZAR"
"DABUR","DABUR INDIA LTD","Nichtzyklische Konsumgüter","Aktien","745.271,51","0,06","745.271,51","104.211,00","7,15","Indien","National Stock Exchange Of India","INR"
"PFBCOLOM","BANCOLOMBIA PREF SA","Financials","Aktien","744.673,32","0,06","744.673,32","77.834,00","9,57","Kolumbien","Bolsa De Valores De Colombia","COP"
"TATAPOWER","TATA POWER LTD","Versorger","Aktien","743.565,24","0,06","743.565,24","244.296,00","3,04","Indien","National Stock Exchange Of India","INR"
"1590","AIRTAC INTERNATIONAL GROUP","Industrie","Aktien","743.010,34","0,06","743.010,34","23.404,00","31,75","Taiwan","Taiwan Stock Exchange","TWD"
"BIMBOA","GRUPO BIMBO A","Nichtzyklische Konsumgüter","Aktien","741.545,46","0,06","741.545,46","272.229,00","2,72","Mexiko","Bolsa Mexicana De Valores","MXN"
"4","WHARF (HOLDINGS) LTD","Immobilien","Aktien","739.971,37","0,06","739.971,37","227.000,00","3,26","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2345","ACCTON TECHNOLOGY CORP","IT","Aktien","739.338,25","0,06","739.338,25","89.000,00","8,31","Taiwan","Taiwan Stock Exchange","TWD"
"3529","EMEMORY TECHNOLOGY INC","IT","Aktien","735.299,31","0,06","735.299,31","11.000,00","66,85","Taiwan","Gretai Securities Market","TWD"
