Fondsposition per,"10.Mär.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"NBK","NATIONAL BANK OF KUWAIT","Financials","Aktien","4.309.857,39","0,36","4.309.857,39","1.153.856,00","3,74","Kuwait","Kuwait Stock Exchange","KWD"
"1180","THE SAUDI NATIONAL BANK","Financials","Aktien","4.286.698,68","0,35","4.286.698,68","232.057,00","18,47","Saudi-Arabien","Saudi Stock Exchange","SAR"
"1810","XIAOMI CORP","IT","Aktien","4.241.731,90","0,35","4.241.731,90","2.443.400,00","1,74","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2269","WUXI BIOLOGICS CAYMAN INC","Gesundheitsversorgung","Aktien","4.221.230,79","0,35","4.221.230,79","611.500,00","6,90","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Aktien","3.985.804,03","0,33","3.985.804,03","46.187,00","86,30","Indien","National Stock Exchange Of India","INR"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Zyklische Konsumgüter ","Aktien","3.980.266,76","0,33","3.980.266,76","223.988,00","17,77","China","New York Stock Exchange Inc.","USD"
"FSR","FIRSTRAND LTD","Financials","Aktien","3.891.421,08","0,32","3.891.421,08","868.420,00","4,48","Südafrika","Johannesburg Stock Exchange","ZAR"
"BHARTIARTL","BHARTI AIRTEL LTD","Kommunikation","Aktien","3.871.947,84","0,32","3.871.947,84","423.431,00","9,14","Indien","National Stock Exchange Of India","INR"
"006400","SAMSUNG SDI LTD","IT","Aktien","3.856.913,49","0,32","3.856.913,49","9.418,00","409,53","Korea","Korea Exchange (Stock Market)","KRW"
"MTN","MTN GROUP LTD","Kommunikation","Aktien","3.844.862,29","0,32","3.844.862,29","289.383,00","13,29","Südafrika","Johannesburg Stock Exchange","ZAR"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Nichtzyklische Konsumgüter","Aktien","3.828.576,38","0,32","3.828.576,38","138.985,00","27,55","Indien","National Stock Exchange Of India","INR"
"2303","UNITED MICRO ELECTRONICS CORP","IT","Aktien","3.767.836,61","0,31","3.767.836,61","2.023.000,00","1,86","Taiwan","Taiwan Stock Exchange","TWD"
"BBRI","BANK RAKYAT INDONESIA (PERSERO)","Financials","Aktien","3.722.145,31","0,31","3.722.145,31","11.630.686,00","0,32","Indonesien","Indonesia Stock Exchange","IDR"
"1211","BYD LTD H","Zyklische Konsumgüter ","Aktien","3.582.951,96","0,30","3.582.951,96","140.000,00","25,59","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2881","FUBON FINANCIAL HOLDING LTD","Financials","Aktien","3.387.102,14","0,28","3.387.102,14","1.301.097,00","2,60","Taiwan","Taiwan Stock Exchange","TWD"
"AXISBANK","AXIS BANK LTD","Financials","Aktien","3.377.700,17","0,28","3.377.700,17","370.869,00","9,11","Indien","National Stock Exchange Of India","INR"
"WALMEX*","WALMART DE MEXICO V","Nichtzyklische Konsumgüter","Aktien","3.339.290,84","0,28","3.339.290,84","891.697,00","3,74","Mexiko","Bolsa Mexicana De Valores","MXN"
"2010","SAUDI BASIC INDUSTRIES","Materialien","Aktien","3.325.034,79","0,27","3.325.034,79","94.499,00","35,19","Saudi-Arabien","Saudi Stock Exchange","SAR"
"005380","HYUNDAI MOTOR","Zyklische Konsumgüter ","Aktien","3.255.614,90","0,27","3.255.614,90","23.661,00","137,59","Korea","Korea Exchange (Stock Market)","KRW"
"YUMC","YUM CHINA HOLDINGS INC","Zyklische Konsumgüter ","Aktien","3.199.908,60","0,26","3.199.908,60","72.135,00","44,36","China","New York Stock Exchange Inc.","USD"
"051910","LG CHEM LTD","Materialien","Aktien","3.179.702,02","0,26","3.179.702,02","7.866,00","404,23","Korea","Korea Exchange (Stock Market)","KRW"
"2331","LI NING LTD","Zyklische Konsumgüter ","Aktien","3.105.054,59","0,26","3.105.054,59","399.500,00","7,77","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PETR4","PETROLEO BRASILEIRO PREF SA","Energie","Aktien","3.095.490,44","0,26","3.095.490,44","463.924,00","6,67","Brasilien","XBSP","BRL"
"2319","CHINA MENGNIU DAIRY LTD","Nichtzyklische Konsumgüter","Aktien","3.079.960,63","0,25","3.079.960,63","539.000,00","5,71","China","Hong Kong Exchanges And Clearing Ltd","HKD"
