Fund Holdings as of,"10/Mar/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"2382","QUANTA COMPUTER INC","Information Technology","Equity","1,500,738.01","0.12","1,500,738.01","459,443.00","3.27","Taiwan","Taiwan Stock Exchange","TWD"
"2899","ZIJIN MINING GROUP LTD H","Materials","Equity","1,489,484.31","0.12","1,489,484.31","1,001,000.00","1.49","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"POWERGRID","POWER GRID CORPORATION OF INDIA LT","Utilities","Equity","1,469,394.75","0.12","1,469,394.75","536,855.00","2.74","India","National Stock Exchange Of India","INR"
"1211","SAUDI ARABIAN MINING","Materials","Equity","1,467,606.40","0.12","1,467,606.40","45,203.00","32.47","Saudi Arabia","Saudi Stock Exchange","SAR"
"2885","YUANTA FINANCIAL HOLDING LTD","Financials","Equity","1,467,154.14","0.12","1,467,154.14","1,677,111.00","0.87","Taiwan","Taiwan Stock Exchange","TWD"
"096770","SK INNOVATION LTD","Energy","Equity","1,465,500.51","0.12","1,465,500.51","8,867.00","165.28","Korea (South)","Korea Exchange (Stock Market)","KRW"
"BGNE","BEIGENE ADS REPRESENTING LTD","Health Care","Equity","1,456,360.00","0.12","1,456,360.00","7,915.00","184.00","China","NASDAQ","USD"
"M&M","MAHINDRA AND MAHINDRA LTD","Consumer Discretionary","Equity","1,443,122.54","0.12","1,443,122.54","149,039.00","9.68","India","National Stock Exchange Of India","INR"
"NTPC","NTPC LTD","Utilities","Equity","1,437,837.57","0.12","1,437,837.57","825,229.00","1.74","India","National Stock Exchange Of India","INR"
"AOT.R","AIRPORTS OF THAILAND NON-VOTING DR","Industrials","Equity","1,433,377.33","0.12","1,433,377.33","739,500.00","1.94","Thailand","Stock Exchange Of Thailand","THB"
"IQCD","INDUSTRIES QATAR","Industrials","Equity","1,427,596.13","0.12","1,427,596.13","263,906.00","5.41","Qatar","Qatar Exchange","QAR"
"9633","NONGFU SPRING LTD H","Consumer Staples","Equity","1,413,305.04","0.12","1,413,305.04","298,400.00","4.74","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1010","RIYAD BANK","Financials","Equity","1,390,903.16","0.11","1,390,903.16","139,518.00","9.97","Saudi Arabia","Saudi Stock Exchange","SAR"
"ULTRACEMCO","ULTRATECH CEMENT LTD","Materials","Equity","1,386,760.13","0.11","1,386,760.13","17,483.00","79.32","India","National Stock Exchange Of India","INR"
"ADANITRANS","ADANI TRANSMISSION LTD","Utilities","Equity","1,379,882.86","0.11","1,379,882.86","46,328.00","29.79","India","National Stock Exchange Of India","INR"
"CIMB","CIMB GROUP HOLDINGS","Financials","Equity","1,379,517.81","0.11","1,379,517.81","1,148,524.00","1.20","Malaysia","Bursa Malaysia","MYR"
"SHP","SHOPRITE HOLDINGS LTD","Consumer Staples","Equity","1,363,568.16","0.11","1,363,568.16","87,578.00","15.57","South Africa","Johannesburg Stock Exchange","ZAR"
"ABG","ABSA GROUP LTD","Financials","Equity","1,355,215.20","0.11","1,355,215.20","122,590.00","11.05","South Africa","Johannesburg Stock Exchange","ZAR"
"034730","SK INC","Industrials","Equity","1,352,858.95","0.11","1,352,858.95","7,026.00","192.55","Korea (South)","Korea Exchange (Stock Market)","KRW"
"028260","SAMSUNG C&T CORP","Industrials","Equity","1,346,761.65","0.11","1,346,761.65","14,384.00","93.63","Korea (South)","Korea Exchange (Stock Market)","KRW"
"AMS","ANGLO AMERICAN PLATINUM LTD","Materials","Equity","1,346,714.47","0.11","1,346,714.47","9,268.00","145.31","South Africa","Johannesburg Stock Exchange","ZAR"
"586","CHINA CONCH VENTURE HOLDINGS LTD","Industrials","Equity","1,344,661.62","0.11","1,344,661.62","280,500.00","4.79","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ADVANC.R","ADVANCED INFO SERVICE NON-VOTING D","Communication","Equity","1,333,636.05","0.11","1,333,636.05","191,371.00","6.97","Thailand","Stock Exchange Of Thailand","THB"
"NESTLEIND","NESTLE INDIA LTD","Consumer Staples","Equity","1,326,949.57","0.11","1,326,949.57","5,737.00","231.30","India","National Stock Exchange Of India","INR"
"SLM","SANLAM LIMITED LTD","Financials","Equity","1,325,801.53","0.11","1,325,801.53","317,359.00","4.18","South Africa","Johannesburg Stock Exchange","ZAR"
"BAJAJFINSV","BAJAJ FINSERV LTD","Financials","Equity","1,322,248.56","0.11","1,322,248.56","6,523.00","202.71","India","National Stock Exchange Of India","INR"
"2609","YANG MING MARINE TRANSPORT CORP","Industrials","Equity","1,307,841.55","0.11","1,307,841.55","299,000.00","4.37","Taiwan","Taiwan Stock Exchange","TWD"
"OTP","OTP BANK","Financials","Equity","1,298,696.01","0.11","1,298,696.01","38,849.00","33.43","Hungary","Budapest Stock Exchange","HUF"
"DIVISLAB","DIVIS LABORATORIES LTD","Health Care","Equity","1,291,876.39","0.11","1,291,876.39","22,920.00","56.36","India","National Stock Exchange Of India","INR"
"033780","KT&G CORP","Consumer Staples","Equity","1,268,272.91","0.10","1,268,272.91","19,327.00","65.62","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2379","REALTEK SEMICONDUCTOR CORP","Information Technology","Equity","1,262,953.19","0.10","1,262,953.19","76,340.00","16.54","Taiwan","Taiwan Stock Exchange","TWD"
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","Financials","Equity","1,261,496.53","0.10","1,261,496.53","152,081.00","8.29","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"QIBK","QATAR ISLAMIC BANK","Financials","Equity","1,256,201.29","0.10","1,256,201.29","200,472.00","6.27","Qatar","Qatar Exchange","QAR"
"SMPH","SM PRIME HOLDINGS INC","Real Estate","Equity","1,250,563.25","0.10","1,250,563.25","1,739,200.00","0.72","Philippines","Philippine Stock Exchange Inc.","PHP"
"JSWSTEEL","JSW STEEL LTD","Materials","Equity","1,248,820.85","0.10","1,248,820.85","146,433.00","8.53","India","National Stock Exchange Of India","INR"
"916","CHINA LONGYUAN POWER GROUP CORP LT","Utilities","Equity","1,244,432.80","0.10","1,244,432.80","555,000.00","2.24","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ABEV3","AMBEV SA","Consumer Staples","Equity","1,238,367.59","0.10","1,238,367.59","467,456.00","2.65","Brazil","XBSP","BRL"
"CEMEXCPO","CEMEX CPO","Materials","Equity","1,237,505.72","0.10","1,237,505.72","2,599,258.00","0.48","Mexico","Bolsa Mexicana De Valores","MXN"
"009150","SAMSUNG ELECTRO MECHANICS LTD","Information Technology","Equity","1,228,134.34","0.10","1,228,134.34","9,608.00","127.82","Korea (South)","Korea Exchange (Stock Market)","KRW"
"BDMS.R","BANGKOK DUSIT MEDICAL SERVICES NON","Health Care","Equity","1,225,658.04","0.10","1,225,658.04","1,625,100.00","0.75","Thailand","Stock Exchange Of Thailand","THB"
"051900","LG HOUSEHOLD & HEALTH CARE LTD","Consumer Staples","Equity","1,223,868.11","0.10","1,223,868.11","1,606.00","762.06","Korea (South)","Korea Exchange (Stock Market)","KRW"
"992","LENOVO GROUP LTD","Information Technology","Equity","1,218,208.78","0.10","1,218,208.78","1,236,000.00","0.99","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3008","LARGAN PRECISION LTD","Information Technology","Equity","1,218,248.44","0.10","1,218,248.44","17,225.00","70.73","Taiwan","Taiwan Stock Exchange","TWD"
"6690","HAIER SMART HOME CLASS H LTD H","Consumer Discretionary","Equity","1,215,850.23","0.10","1,215,850.23","390,600.00","3.11","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"011200","HMM LTD","Industrials","Equity","1,205,936.01","0.10","1,205,936.01","45,021.00","26.79","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2601","CHINA PACIFIC INSURANCE (GROUP) LT","Financials","Equity","1,198,964.54","0.10","1,198,964.54","456,400.00","2.63","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2328","PICC PROPERTY AND CASUALTY LTD H","Financials","Equity","1,188,380.55","0.10","1,188,380.55","1,208,872.00","0.98","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"373220","LG ENERGY SOLUTION LTD","Industrials","Equity","1,184,262.16","0.10","1,184,262.16","3,484.00","339.91","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2887","TAISHIN FINANCIAL HOLDING LTD","Financials","Equity","1,174,488.90","0.10","1,174,488.90","1,757,023.00","0.67","Taiwan","Taiwan Stock Exchange","TWD"
"2880","HUA NAN FINANCIAL HOLDINGS LTD","Financials","Equity","1,154,058.61","0.10","1,154,058.61","1,457,301.00","0.79","Taiwan","Taiwan Stock Exchange","TWD"
"2020","SABIC AGRI-NUTRIENTS","Materials","Equity","1,148,753.51","0.09","1,148,753.51","22,826.00","50.33","Saudi Arabia","Saudi Stock Exchange","SAR"
"VOD","VODACOM GROUP LTD","Communication","Equity","1,137,895.89","0.09","1,137,895.89","109,174.00","10.42","South Africa","Johannesburg Stock Exchange","ZAR"
"SCCO","SOUTHERN COPPER CORP","Materials","Equity","1,108,566.60","0.09","1,108,566.60","14,722.00","75.30","Peru","New York Stock Exchange Inc.","USD"
"NED","NEDBANK GROUP LTD","Financials","Equity","1,106,541.53","0.09","1,106,541.53","76,929.00","14.38","South Africa","Johannesburg Stock Exchange","ZAR"
"BID","BID CORPORATION LTD","Consumer Staples","Equity","1,104,545.05","0.09","1,104,545.05","56,322.00","19.61","South Africa","Johannesburg Stock Exchange","ZAR"
"2327","YAGEO CORP","Information Technology","Equity","1,093,729.58","0.09","1,093,729.58","71,115.00","15.38","Taiwan","Taiwan Stock Exchange","TWD"
"MARK","MASRAF AL RAYAN","Financials","Equity","1,087,443.88","0.09","1,087,443.88","778,188.00","1.40","Qatar","Qatar Exchange","QAR"
"1919","COSCO SHIPPING HOLDINGS LTD H","Industrials","Equity","1,081,959.33","0.09","1,081,959.33","574,982.00","1.88","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SBILIFE","SBI LIFE INSURANCE COMPANY LTD","Financials","Equity","1,077,310.98","0.09","1,077,310.98","78,286.00","13.76","India","National Stock Exchange Of India","INR"
"1658","POSTAL SAVINGS BANK OF CHINA LTD H","Financials","Equity","1,073,840.98","0.09","1,073,840.98","1,337,616.00","0.80","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"914","ANHUI CONCH CEMENT LTD H","Materials","Equity","1,073,514.56","0.09","1,073,514.56","214,500.00","5.00","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"267","CITIC LTD","Industrials","Equity","1,073,313.22","0.09","1,073,313.22","982,000.00","1.09","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"CIPLA","CIPLA LTD","Health Care","Equity","1,070,704.44","0.09","1,070,704.44","82,772.00","12.94","India","National Stock Exchange Of India","INR"
"APOLLOHOSP","APOLLO HOSPITALS ENTERPRISE LTD","Health Care","Equity","1,070,080.52","0.09","1,070,080.52","17,119.00","62.51","India","National Stock Exchange Of India","INR"
"2207","HOTAI MOTOR LTD","Consumer Discretionary","Equity","1,066,319.62","0.09","1,066,319.62","50,635.00","21.06","Taiwan","Taiwan Stock Exchange","TWD"
"2409","AU OPTRONICS CORP","Information Technology","Equity","1,062,912.27","0.09","1,062,912.27","1,418,000.00","0.75","Taiwan","Taiwan Stock Exchange","TWD"
"ADANIENT","ADANI ENTERPRISES LTD","Industrials","Equity","1,057,815.50","0.09","1,057,815.50","46,313.00","22.84","India","National Stock Exchange Of India","INR"
"PTTEP.R","PTT EXPLORATION AND PRODUCTION NON","Energy","Equity","1,052,545.98","0.09","1,052,545.98","238,152.00","4.42","Thailand","Stock Exchange Of Thailand","THB"
"WEGE3","WEG SA","Industrials","Equity","1,045,865.36","0.09","1,045,865.36","166,529.00","6.28","Brazil","XBSP","BRL"
"3045","TAIWAN MOBILE LTD","Communication","Equity","1,041,907.28","0.09","1,041,907.28","277,343.00","3.76","Taiwan","Taiwan Stock Exchange","TWD"
"CEZ","CEZ","Utilities","Equity","1,040,258.84","0.09","1,040,258.84","28,300.00","36.76","Czech Republic","Prague Stock Exchange","CZK"
"ATGL","ADANI TOTAL GAS LTD","Utilities","Equity","1,035,856.34","0.09","1,035,856.34","46,603.00","22.23","India","National Stock Exchange Of India","INR"
"HAPV3","HAPVIDA PARTICIPACOES E INVESTIMEN","Health Care","Equity","1,031,453.95","0.09","1,031,453.95","435,578.00","2.37","Brazil","XBSP","BRL"
"6030","CITIC SECURITIES COMPANY LTD H","Financials","Equity","1,027,931.70","0.08","1,027,931.70","453,275.00","2.27","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"036570","NCSOFT CORP","Communication","Equity","1,020,420.11","0.08","1,020,420.11","2,826.00","361.08","Korea (South)","Korea Exchange (Stock Market)","KRW"
"034020","DOOSAN HEAVY INDUSTRIES & CONSTRUC","Industrials","Equity","1,019,705.92","0.08","1,019,705.92","59,358.00","17.18","Korea (South)","Korea Exchange (Stock Market)","KRW"
"KGH","KGHM POLSKA MIEDZ SA","Materials","Equity","1,016,878.98","0.08","1,016,878.98","24,773.00","41.05","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"5876","SHANGHAI COMMERCIAL LTD","Financials","Equity","1,012,310.63","0.08","1,012,310.63","613,205.00","1.65","Taiwan","Taiwan Stock Exchange","TWD"
"2890","SINOPAC FINANCIAL HOLDINGS LTD","Financials","Equity","1,008,953.67","0.08","1,008,953.67","1,692,475.00","0.60","Taiwan","Taiwan Stock Exchange","TWD"
"TATACONSUM","TATA CONSUMER PRODUCTS LTD","Consumer Staples","Equity","1,005,566.01","0.08","1,005,566.01","105,951.00","9.49","India","National Stock Exchange Of India","INR"
"HDFCLIFE","HDFC LIFE INSURANCE COMPANY LTD","Financials","Equity","1,005,141.28","0.08","1,005,141.28","147,127.00","6.83","India","National Stock Exchange Of India","INR"
"316140","WOORI FINANCIAL GROUP INC","Financials","Equity","999,314.47","0.08","999,314.47","87,360.00","11.44","Korea (South)","Korea Exchange (Stock Market)","KRW"
"DRREDDY","DR REDDYS LABORATORIES LTD","Health Care","Equity","996,016.81","0.08","996,016.81","19,525.00","51.01","India","National Stock Exchange Of India","INR"
"3328","BANK OF COMMUNICATIONS LTD H","Financials","Equity","993,539.36","0.08","993,539.36","1,503,300.00","0.66","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1177","SINO BIOPHARMACEUTICAL LTD","Health Care","Equity","986,452.94","0.08","986,452.94","1,737,979.00","0.57","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"VEDL","VEDANTA LTD","Materials","Equity","980,222.94","0.08","980,222.94","197,742.00","4.96","India","National Stock Exchange Of India","INR"
"3481","INNOLUX CORP","Information Technology","Equity","973,539.76","0.08","973,539.76","1,599,935.00","0.61","Taiwan","Taiwan Stock Exchange","TWD"
"2912","PRESIDENT CHAIN STORE CORP","Consumer Staples","Equity","971,903.77","0.08","971,903.77","103,000.00","9.44","Taiwan","Taiwan Stock Exchange","TWD"
"1150","ALINMA BANK","Financials","Equity","964,306.14","0.08","964,306.14","105,010.00","9.18","Saudi Arabia","Saudi Stock Exchange","SAR"
"ONGC","OIL AND NATURAL GAS LTD","Energy","Equity","962,090.74","0.08","962,090.74","421,063.00","2.28","India","National Stock Exchange Of India","INR"
"ALI","AYALA LAND INC","Real Estate","Equity","961,754.28","0.08","961,754.28","1,366,700.00","0.70","Philippines","Philippine Stock Exchange Inc.","PHP"
"HTHT","HUAZHU GROUP ADR REPRESENTING LTD","Consumer Discretionary","Equity","958,051.25","0.08","958,051.25","30,875.00","31.03","China","NASDAQ","USD"
"NPH","NORTHAM PLATINUM HLDGS LTD","Materials","Equity","955,666.20","0.08","955,666.20","57,158.00","16.72","South Africa","Johannesburg Stock Exchange","ZAR"
"268","KINGDEE INT L SOFTWARE GROUP LTD","Information Technology","Equity","953,598.80","0.08","953,598.80","454,855.00","2.10","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"EMAAR","EMAAR PROPERTIES","Real Estate","Equity","947,805.79","0.08","947,805.79","666,923.00","1.42","United Arab Emirates","Dubai Financial Market","AED"
"2007","COUNTRY GARDEN HOLDINGS LTD","Real Estate","Equity","940,563.95","0.08","940,563.95","1,306,866.00","0.72","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PCHEM","PETRONAS CHEMICALS GROUP","Materials","Equity","932,837.51","0.08","932,837.51","396,598.00","2.35","Malaysia","Bursa Malaysia","MYR"
"ITSA4","ITAUSA INVESTIMENTOS ITAU PREF SA","Financials","Equity","922,563.04","0.08","922,563.04","469,712.00","1.96","Brazil","XBSP","BRL"
"GRASIM","GRASIM INDUSTRIES LTD","Materials","Equity","920,713.54","0.08","920,713.54","45,183.00","20.38","India","National Stock Exchange Of India","INR"
"SUZB3","SUZANO SA","Materials","Equity","914,452.31","0.08","914,452.31","75,926.00","12.04","Brazil","XBSP","BRL"
"259960","KRAFTON INC","Communication","Equity","893,466.31","0.07","893,466.31","3,720.00","240.18","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2301","LITE ON TECHNOLOGY CORP","Information Technology","Equity","887,472.06","0.07","887,472.06","356,359.00","2.49","Taiwan","Taiwan Stock Exchange","TWD"
"003550","LG CORP","Industrials","Equity","880,563.40","0.07","880,563.40","14,695.00","59.92","Korea (South)","Korea Exchange (Stock Market)","KRW"
"1060","SAUDI BRITISH BANK","Financials","Equity","878,465.89","0.07","878,465.89","85,822.00","10.24","Saudi Arabia","Saudi Stock Exchange","SAR"
"REM","REMGRO LTD","Financials","Equity","862,192.59","0.07","862,192.59","90,949.00","9.48","South Africa","Johannesburg Stock Exchange","ZAR"
"PKN","POLSKI KONCERN NAFTOWY ORLEN SA","Energy","Equity","856,203.72","0.07","856,203.72","49,730.00","17.22","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"015760","KOREA ELECTRIC POWER CORP","Utilities","Equity","850,528.48","0.07","850,528.48","42,814.00","19.87","Korea (South)","Korea Exchange (Stock Market)","KRW"
"1050","BANQUE SAUDI FRANSI","Financials","Equity","849,090.76","0.07","849,090.76","61,257.00","13.86","Saudi Arabia","Saudi Stock Exchange","SAR"
"2333","GREAT WALL MOTOR LTD H","Consumer Discretionary","Equity","849,167.69","0.07","849,167.69","525,530.00","1.62","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PMETAL","PRESS METAL ALUMINIUM HOLDINGS","Materials","Equity","848,203.69","0.07","848,203.69","542,300.00","1.56","Malaysia","Bursa Malaysia","MYR"
"6969","SMOORE INTERNATIONAL HOLDINGS LTD","Consumer Staples","Equity","844,827.81","0.07","844,827.81","311,000.00","2.72","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"CLS","CLICKS GROUP LTD","Consumer Staples","Equity","842,054.05","0.07","842,054.05","42,324.00","19.90","South Africa","Johannesburg Stock Exchange","ZAR"
"PIDILITIND","PIDILITE INDUSTRIES LTD","Materials","Equity","838,394.31","0.07","838,394.31","27,224.00","30.80","India","National Stock Exchange Of India","INR"
"4966","PARADE TECHNOLOGIES LTD","Information Technology","Equity","836,890.19","0.07","836,890.19","13,000.00","64.38","Taiwan","Gretai Securities Market","TWD"
"6488","GLOBALWAFERS LTD","Information Technology","Equity","835,302.83","0.07","835,302.83","37,000.00","22.58","Taiwan","Gretai Securities Market","TWD"
"CHILE","BANCO DE CHILE","Financials","Equity","831,963.46","0.07","831,963.46","7,833,075.00","0.11","Chile","Santiago Stock Exchange","CLP"
"BDO","BDO UNIBANK INC","Financials","Equity","830,988.48","0.07","830,988.48","341,514.00","2.43","Philippines","Philippine Stock Exchange Inc.","PHP"
"TENAGA","TENAGA NASIONAL","Utilities","Equity","829,532.33","0.07","829,532.33","385,986.00","2.15","Malaysia","Bursa Malaysia","MYR"
"4938","PEGATRON CORP","Information Technology","Equity","825,868.12","0.07","825,868.12","336,387.00","2.46","Taiwan","Taiwan Stock Exchange","TWD"
"ADANIPORTS","ADANI PORTS AND SPECIAL ECONOMIC Z","Industrials","Equity","815,151.48","0.07","815,151.48","85,159.00","9.57","India","National Stock Exchange Of India","INR"
"091990","CELLTRION HEALTHCARE LTD","Health Care","Equity","813,811.68","0.07","813,811.68","15,122.00","53.82","Korea (South)","Korea Exchange (Kosdaq)","KRW"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO","Industrials","Equity","811,495.16","0.07","811,495.16","63,579.00","12.76","Mexico","Bolsa Mexicana De Valores","MXN"
"000810","SAMSUNG FIRE & MARINE INSURANCE LT","Financials","Equity","810,717.69","0.07","810,717.69","5,368.00","151.03","Korea (South)","Korea Exchange (Stock Market)","KRW"
"ALDAR","ALDAR PROPERTIES","Real Estate","Equity","808,358.62","0.07","808,358.62","685,714.00","1.18","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"3323","CHINA NATIONAL BUILDING MATERIAL L","Materials","Equity","803,390.18","0.07","803,390.18","670,000.00","1.20","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ZAIN","MOBILE TEL","Communication","Equity","799,312.62","0.07","799,312.62","383,367.00","2.08","Kuwait","Kuwait Stock Exchange","KWD"
"2359","WUXI APPTEC LTD H","Health Care","Equity","797,718.81","0.07","797,718.81","58,704.00","13.59","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"168","TSINGTAO BREWERY LTD H","Consumer Staples","Equity","796,052.46","0.07","796,052.46","89,600.00","8.88","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"UPL","UPL LTD","Materials","Equity","795,058.75","0.07","795,058.75","83,771.00","9.49","India","National Stock Exchange Of India","INR"
"NAUKRI","INFO EDGE INDIA LTD","Communication","Equity","794,347.36","0.07","794,347.36","13,130.00","60.50","India","National Stock Exchange Of India","INR"
"BRITANNIA","BRITANNIA INDUSTRIES LTD","Consumer Staples","Equity","793,646.95","0.07","793,646.95","18,790.00","42.24","India","National Stock Exchange Of India","INR"
"TLEVISACPO","GRUPO TELEVISA","Communication","Equity","789,971.05","0.07","789,971.05","401,829.00","1.97","Mexico","Bolsa Mexicana De Valores","MXN"
"788","CHINA TOWER CORP LTD H","Communication","Equity","789,573.80","0.07","789,573.80","7,182,000.00","0.11","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"151","WANT WANT CHINA HOLDINGS LTD","Consumer Staples","Equity","786,604.00","0.07","786,604.00","816,086.00","0.96","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2395","ADVANTECH LTD","Information Technology","Equity","778,015.10","0.06","778,015.10","60,844.00","12.79","Taiwan","Taiwan Stock Exchange","TWD"
"ARTO","BANK ARTOS INDONESIA","Financials","Equity","775,935.57","0.06","775,935.57","702,400.00","1.10","Indonesia","Indonesia Stock Exchange","IDR"
"ICT","INTERNATIONAL CONTAINER TERMINAL S","Industrials","Equity","774,961.51","0.06","774,961.51","173,460.00","4.47","Philippines","Philippine Stock Exchange Inc.","PHP"
"090430","AMOREPACIFIC CORP","Consumer Staples","Equity","773,287.20","0.06","773,287.20","5,587.00","138.41","Korea (South)","Korea Exchange (Stock Market)","KRW"
"1024","KUAISHOU TECHNOLOGY","Communication","Equity","770,874.13","0.06","770,874.13","81,600.00","9.45","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"384","CHINA GAS HOLDINGS LTD","Utilities","Equity","769,407.61","0.06","769,407.61","511,800.00","1.50","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"LTI","LARSEN & TOUBRO INFOTECH LTD","Information Technology","Equity","763,942.79","0.06","763,942.79","9,274.00","82.37","India","National Stock Exchange Of India","INR"
"AC","AYALA CORP","Industrials","Equity","762,322.04","0.06","762,322.04","47,900.00","15.91","Philippines","Philippine Stock Exchange Inc.","PHP"
"2888","SHIN KONG FINANCIAL HOLDING LTD","Financials","Equity","752,662.47","0.06","752,662.47","2,102,190.00","0.36","Taiwan","Taiwan Stock Exchange","TWD"
"DSY","DISCOVERY LTD","Financials","Equity","751,306.70","0.06","751,306.70","72,074.00","10.42","South Africa","Johannesburg Stock Exchange","ZAR"
"SM","SM INVESTMENTS CORP","Industrials","Equity","747,205.52","0.06","747,205.52","42,917.00","17.41","Philippines","Philippine Stock Exchange Inc.","PHP"
"ECOPETROL","ECOPETROL SA","Energy","Equity","747,211.96","0.06","747,211.96","841,696.00","0.89","Colombia","Bolsa De Valores De Colombia","COP"
"APN","ASPEN PHARMACARE LTD","Health Care","Equity","747,109.39","0.06","747,109.39","64,695.00","11.55","South Africa","Johannesburg Stock Exchange","ZAR"
"DABUR","DABUR INDIA LTD","Consumer Staples","Equity","745,271.51","0.06","745,271.51","104,211.00","7.15","India","National Stock Exchange Of India","INR"
"PFBCOLOM","BANCOLOMBIA PREF SA","Financials","Equity","744,673.32","0.06","744,673.32","77,834.00","9.57","Colombia","Bolsa De Valores De Colombia","COP"
"TATAPOWER","TATA POWER LTD","Utilities","Equity","743,565.24","0.06","743,565.24","244,296.00","3.04","India","National Stock Exchange Of India","INR"
"1590","AIRTAC INTERNATIONAL GROUP","Industrials","Equity","743,010.34","0.06","743,010.34","23,404.00","31.75","Taiwan","Taiwan Stock Exchange","TWD"
"BIMBOA","GRUPO BIMBO A","Consumer Staples","Equity","741,545.46","0.06","741,545.46","272,229.00","2.72","Mexico","Bolsa Mexicana De Valores","MXN"
"4","WHARF (HOLDINGS) LTD","Real Estate","Equity","739,971.37","0.06","739,971.37","227,000.00","3.26","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2345","ACCTON TECHNOLOGY CORP","Information Technology","Equity","739,338.25","0.06","739,338.25","89,000.00","8.31","Taiwan","Taiwan Stock Exchange","TWD"
"3529","EMEMORY TECHNOLOGY INC","Information Technology","Equity","735,299.31","0.06","735,299.31","11,000.00","66.85","Taiwan","Gretai Securities Market","TWD"
"836","CHINA RESOURCES POWER LTD","Utilities","Equity","731,138.30","0.06","731,138.30","326,823.00","2.24","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1171","YANKUANG ENERGY GROUP COMPANY LTD","Energy","Equity","730,000.26","0.06","730,000.26","270,000.00","2.70","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PZU","PZU SA","Financials","Equity","728,220.87","0.06","728,220.87","100,890.00","7.22","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"CBQK","COMMERCIAL BANK OF QATAR","Financials","Equity","726,478.75","0.06","726,478.75","348,204.00","2.09","Qatar","Qatar Exchange","QAR"
"PEO","BANK PEKAO SA","Financials","Equity","721,816.89","0.06","721,816.89","30,945.00","23.33","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"011070","LG INNOTEK LTD","Information Technology","Equity","720,801.14","0.06","720,801.14","2,508.00","287.40","Korea (South)","Korea Exchange (Stock Market)","KRW"
"EICHERMOT","EICHER MOTORS LTD","Consumer Discretionary","Equity","718,953.71","0.06","718,953.71","23,821.00","30.18","India","National Stock Exchange Of India","INR"
"GULF.R","GULF ENERGY DEVELOPMENT PCL NON-VO","Utilities","Equity","718,360.59","0.06","718,360.59","493,510.00","1.46","Thailand","Stock Exchange Of Thailand","THB"
"1548","GENSCRIPT BIOTECH CORP","Health Care","Equity","718,287.73","0.06","718,287.73","211,236.00","3.40","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"COMI","COMMERCIAL INTERNATIONAL BANK","Financials","Equity","718,116.24","0.06","718,116.24","275,599.00","2.61","Egypt","Egyptian Exchange","EGP"
"5110","SAUDI ELECTRICITY","Utilities","Equity","716,296.20","0.06","716,296.20","90,174.00","7.94","Saudi Arabia","Saudi Stock Exchange","SAR"
"018260","SAMSUNG SDS LTD","Information Technology","Equity","711,512.31","0.06","711,512.31","6,027.00","118.05","Korea (South)","Korea Exchange (Stock Market)","KRW"
