Fund Holdings as of,"10/Mar/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"000660","SK HYNIX INC","Information Technology","Equity","9,120,195.40","0.75","9,120,195.40","93,349.00","97.70","Korea (South)","Korea Exchange (Stock Market)","KRW"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","8,591,903.74","0.71","8,591,903.74","292,949.00","29.33","India","National Stock Exchange Of India","INR"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","7,776,630.52","0.64","7,776,630.52","877,026.00","8.87","India","National Stock Exchange Of India","INR"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","7,746,360.08","0.64","7,746,360.08","2,132,054.00","3.63","Taiwan","Taiwan Stock Exchange","TWD"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","7,670,703.43","0.63","7,670,703.43","398,171.00","19.26","Brazil","XBSP","BRL"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","7,606,971.79","0.63","7,606,971.79","1,080,950.00","7.04","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","7,438,690.25","0.61","7,438,690.25","156,757.00","47.45","India","National Stock Exchange Of India","INR"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","7,291,190.72","0.60","7,291,190.72","141,030.00","51.70","Korea (South)","Korea Exchange (Stock Market)","KRW"
"BIDU","BAIDU ADS REPTG INC CLASS A","Communication","Equity","6,430,912.80","0.53","6,430,912.80","47,580.00","135.16","China","NASDAQ","USD"
"9999","NETEASE INC","Communication","Equity","6,101,360.16","0.50","6,101,360.16","352,500.00","17.31","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"035420","NAVER CORP","Communication","Equity","5,687,317.73","0.47","5,687,317.73","21,136.00","269.08","Korea (South)","Korea Exchange (Stock Market)","KRW"
"ETISALAT","EMIRATES TELECOM","Communication","Equity","5,643,822.95","0.47","5,643,822.95","595,007.00","9.49","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","5,633,701.88","0.47","5,633,701.88","9,643,369.00","0.58","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1120","AL RAJHI BANK","Financials","Equity","5,357,026.79","0.44","5,357,026.79","130,330.00","41.10","Saudi Arabia","Saudi Stock Exchange","SAR"
"BBCA","BANK CENTRAL ASIA","Financials","Equity","5,293,500.42","0.44","5,293,500.42","9,538,320.00","0.55","Indonesia","Indonesia Stock Exchange","IDR"
"3988","BANK OF CHINA LTD H","Financials","Equity","5,153,564.48","0.43","5,153,564.48","13,619,687.00","0.38","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3968","CHINA MERCHANTS BANK LTD H","Financials","Equity","5,129,521.99","0.42","5,129,521.99","665,995.00","7.70","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"AMXL","AMERICA MOVIL L","Communication","Equity","4,923,333.13","0.41","4,923,333.13","5,209,637.00","0.95","Mexico","Bolsa Mexicana De Valores","MXN"
"QNBK","QATAR NATIONAL BANK","Financials","Equity","4,777,044.91","0.39","4,777,044.91","766,379.00","6.23","Qatar","Qatar Exchange","QAR"
"FAB","FIRST ABU DHABI BANK","Financials","Equity","4,614,198.17","0.38","4,614,198.17","766,886.00","6.02","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","4,439,267.19","0.37","4,439,267.19","37,275.00","119.10","South Africa","Johannesburg Stock Exchange","ZAR"
"035720","KAKAO CORP","Communication","Equity","4,347,567.68","0.36","4,347,567.68","53,399.00","81.42","Korea (South)","Korea Exchange (Stock Market)","KRW"
"NBK","NATIONAL BANK OF KUWAIT","Financials","Equity","4,309,857.39","0.36","4,309,857.39","1,153,856.00","3.74","Kuwait","Kuwait Stock Exchange","KWD"
"1180","THE SAUDI NATIONAL BANK","Financials","Equity","4,286,698.68","0.35","4,286,698.68","232,057.00","18.47","Saudi Arabia","Saudi Stock Exchange","SAR"
"1810","XIAOMI CORP","Information Technology","Equity","4,241,731.90","0.35","4,241,731.90","2,443,400.00","1.74","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2269","WUXI BIOLOGICS CAYMAN INC","Health Care","Equity","4,221,230.79","0.35","4,221,230.79","611,500.00","6.90","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","3,985,804.03","0.33","3,985,804.03","46,187.00","86.30","India","National Stock Exchange Of India","INR"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Consumer Discretionary","Equity","3,980,266.76","0.33","3,980,266.76","223,988.00","17.77","China","New York Stock Exchange Inc.","USD"
"FSR","FIRSTRAND LTD","Financials","Equity","3,891,421.08","0.32","3,891,421.08","868,420.00","4.48","South Africa","Johannesburg Stock Exchange","ZAR"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","3,871,947.84","0.32","3,871,947.84","423,431.00","9.14","India","National Stock Exchange Of India","INR"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","3,856,913.49","0.32","3,856,913.49","9,418.00","409.53","Korea (South)","Korea Exchange (Stock Market)","KRW"
"MTN","MTN GROUP LTD","Communication","Equity","3,844,862.29","0.32","3,844,862.29","289,383.00","13.29","South Africa","Johannesburg Stock Exchange","ZAR"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","3,828,576.38","0.32","3,828,576.38","138,985.00","27.55","India","National Stock Exchange Of India","INR"
"2303","UNITED MICRO ELECTRONICS CORP","Information Technology","Equity","3,767,836.61","0.31","3,767,836.61","2,023,000.00","1.86","Taiwan","Taiwan Stock Exchange","TWD"
"BBRI","BANK RAKYAT INDONESIA (PERSERO)","Financials","Equity","3,722,145.31","0.31","3,722,145.31","11,630,686.00","0.32","Indonesia","Indonesia Stock Exchange","IDR"
"1211","BYD LTD H","Consumer Discretionary","Equity","3,582,951.96","0.30","3,582,951.96","140,000.00","25.59","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2881","FUBON FINANCIAL HOLDING LTD","Financials","Equity","3,387,102.14","0.28","3,387,102.14","1,301,097.00","2.60","Taiwan","Taiwan Stock Exchange","TWD"
"AXISBANK","AXIS BANK LTD","Financials","Equity","3,377,700.17","0.28","3,377,700.17","370,869.00","9.11","India","National Stock Exchange Of India","INR"
"WALMEX*","WALMART DE MEXICO V","Consumer Staples","Equity","3,339,290.84","0.28","3,339,290.84","891,697.00","3.74","Mexico","Bolsa Mexicana De Valores","MXN"
"2010","SAUDI BASIC INDUSTRIES","Materials","Equity","3,325,034.79","0.27","3,325,034.79","94,499.00","35.19","Saudi Arabia","Saudi Stock Exchange","SAR"
"005380","HYUNDAI MOTOR","Consumer Discretionary","Equity","3,255,614.90","0.27","3,255,614.90","23,661.00","137.59","Korea (South)","Korea Exchange (Stock Market)","KRW"
"YUMC","YUM CHINA HOLDINGS INC","Consumer Discretionary","Equity","3,199,908.60","0.26","3,199,908.60","72,135.00","44.36","China","New York Stock Exchange Inc.","USD"
"051910","LG CHEM LTD","Materials","Equity","3,179,702.02","0.26","3,179,702.02","7,866.00","404.23","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2331","LI NING LTD","Consumer Discretionary","Equity","3,105,054.59","0.26","3,105,054.59","399,500.00","7.77","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PETR4","PETROLEO BRASILEIRO PREF SA","Energy","Equity","3,095,490.44","0.26","3,095,490.44","463,924.00","6.67","Brazil","XBSP","BRL"
"2319","CHINA MENGNIU DAIRY LTD","Consumer Staples","Equity","3,079,960.63","0.25","3,079,960.63","539,000.00","5.71","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2891","CTBC FINANCIAL HOLDING LTD","Financials","Equity","3,037,753.39","0.25","3,037,753.39","3,213,331.00","0.95","Taiwan","Taiwan Stock Exchange","TWD"
