Fund Holdings as of,"10/Mar/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","46,609,590.82","0.11","46,609,590.82","2,678,309.00","17.40","Germany","Xetra","EUR"
"HUM","HUMANA INC","Health Care","Equity","46,206,894.20","0.10","46,206,894.20","107,134.00","431.30","United States","New York Stock Exchange Inc.","USD"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","46,199,704.98","0.10","46,199,704.98","354,673.00","130.26","United States","New York Stock Exchange Inc.","USD"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","46,192,531.02","0.10","46,192,531.02","1,106,673.00","41.74","United States","New York Stock Exchange Inc.","USD"
"7974","NINTENDO LTD","Communication","Equity","46,175,071.79","0.10","46,175,071.79","91,377.00","505.32","Japan","Tokyo Stock Exchange","JPY"
"SLB","SCHLUMBERGER NV","Energy","Equity","46,105,599.40","0.10","46,105,599.40","1,062,341.00","43.40","United States","New York Stock Exchange Inc.","USD"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","45,681,735.01","0.10","45,681,735.01","1,095,200.00","41.71","Japan","Tokyo Stock Exchange","JPY"
"4063","SHIN ETSU CHEMICAL LTD","Materials","Equity","45,453,255.29","0.10","45,453,255.29","296,957.00","153.06","Japan","Tokyo Stock Exchange","JPY"
"EMR","EMERSON ELECTRIC","Industrials","Equity","45,385,670.70","0.10","45,385,670.70","479,055.00","94.74","United States","New York Stock Exchange Inc.","USD"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Financials","Equity","45,257,447.48","0.10","45,257,447.48","363,273.00","124.58","Canada","Toronto Stock Exchange","CAD"
"BAYN","BAYER AG","Health Care","Equity","45,211,103.18","0.10","45,211,103.18","763,102.00","59.25","Germany","Xetra","EUR"
"UBSG","UBS GROUP AG","Financials","Equity","44,889,053.00","0.10","44,889,053.00","2,692,037.00","16.67","Switzerland","SIX Swiss Exchange","CHF"
